Algorithms,MaxCost,TimeTaken,Parameters
BruteForce,228,0.000000,5
DecreaseAndConquer,228,0.000000,5
DivideAndConquer,228,0.000000,5
TransformAndConquer,228,0.000000,5
SpaceAndTimeTradeOffs,228,0.000000,5
DynamicProgramming,228,0.000000,5
IterativeImprovement,228,0.000000,5
Greedy,228,0.000000,5
GeneticAlgorithm,228,0.089000,5
BruteForce,133,0.000000,6
DecreaseAndConquer,133,0.000000,6
DivideAndConquer,133,0.000000,6
TransformAndConquer,133,0.000000,6
SpaceAndTimeTradeOffs,133,0.000000,6
DynamicProgramming,133,0.000000,6
IterativeImprovement,133,0.000000,6
Greedy,133,0.000000,6
GeneticAlgorithm,133,0.095000,6
BruteForce,178,0.000000,7
DecreaseAndConquer,178,0.000000,7
DivideAndConquer,178,0.000000,7
TransformAndConquer,178,0.000000,7
SpaceAndTimeTradeOffs,178,0.000000,7
DynamicProgramming,178,0.000000,7
IterativeImprovement,178,0.000000,7
Greedy,178,0.000000,7
GeneticAlgorithm,178,0.095000,7
BruteForce,266,0.000000,8
DecreaseAndConquer,266,0.000000,8
DivideAndConquer,266,0.000000,8
TransformAndConquer,266,0.000000,8
SpaceAndTimeTradeOffs,266,0.000000,8
DynamicProgramming,266,0.000000,8
IterativeImprovement,266,0.000000,8
Greedy,266,0.000000,8
GeneticAlgorithm,266,0.095000,8
BruteForce,267,0.000000,9
DecreaseAndConquer,267,0.000000,9
DivideAndConquer,267,0.000000,9
TransformAndConquer,267,0.000000,9
SpaceAndTimeTradeOffs,267,0.000000,9
DynamicProgramming,267,0.000000,9
IterativeImprovement,267,0.000000,9
Greedy,267,0.000000,9
GeneticAlgorithm,267,0.099000,9
BruteForce,231,0.000000,10
DecreaseAndConquer,231,0.000000,10
DivideAndConquer,231,0.000000,10
TransformAndConquer,231,0.000000,10
SpaceAndTimeTradeOffs,231,0.000000,10
DynamicProgramming,231,0.000000,10
IterativeImprovement,231,0.000000,10
Greedy,231,0.000000,10
GeneticAlgorithm,231,0.115000,10
BruteForce,430,0.001000,11
DecreaseAndConquer,430,0.000000,11
DivideAndConquer,430,0.000000,11
TransformAndConquer,430,0.000000,11
SpaceAndTimeTradeOffs,430,0.000000,11
DynamicProgramming,430,0.000000,11
IterativeImprovement,430,0.000000,11
Greedy,430,0.000000,11
GeneticAlgorithm,430,0.105000,11
BruteForce,389,0.000000,12
DecreaseAndConquer,389,0.000000,12
DivideAndConquer,389,0.000000,12
TransformAndConquer,389,0.000000,12
SpaceAndTimeTradeOffs,389,0.000000,12
DynamicProgramming,389,0.000000,12
IterativeImprovement,389,0.000000,12
Greedy,389,0.000000,12
GeneticAlgorithm,389,0.106000,12
BruteForce,409,0.000000,13
DecreaseAndConquer,409,0.001000,13
DivideAndConquer,409,0.001000,13
TransformAndConquer,409,0.000000,13
SpaceAndTimeTradeOffs,409,0.000000,13
DynamicProgramming,409,0.000000,13
IterativeImprovement,409,0.000000,13
Greedy,409,0.000000,13
GeneticAlgorithm,409,0.110000,13
BruteForce,488,0.001000,14
DecreaseAndConquer,488,0.001000,14
DivideAndConquer,488,0.000000,14
TransformAndConquer,488,0.000000,14
SpaceAndTimeTradeOffs,488,0.000000,14
DynamicProgramming,488,0.000000,14
IterativeImprovement,488,0.000000,14
Greedy,488,0.000000,14
GeneticAlgorithm,488,0.113000,14
BruteForce,452,0.002000,15
DecreaseAndConquer,452,0.000000,15
DivideAndConquer,452,0.000000,15
TransformAndConquer,452,0.000000,15
SpaceAndTimeTradeOffs,452,0.000000,15
DynamicProgramming,452,0.001000,15
IterativeImprovement,452,0.000000,15
Greedy,452,0.000000,15
GeneticAlgorithm,452,0.115000,15
BruteForce,627,0.005000,16
DecreaseAndConquer,627,0.001000,16
DivideAndConquer,627,0.000000,16
TransformAndConquer,627,0.000000,16
SpaceAndTimeTradeOffs,627,0.000000,16
DynamicProgramming,627,0.001000,16
IterativeImprovement,627,0.000000,16
Greedy,627,0.000000,16
GeneticAlgorithm,627,0.115000,16
BruteForce,462,0.009000,17
DecreaseAndConquer,462,0.001000,17
DivideAndConquer,462,0.000000,17
TransformAndConquer,462,0.000000,17
SpaceAndTimeTradeOffs,462,0.000000,17
DynamicProgramming,462,0.000000,17
IterativeImprovement,462,0.000000,17
Greedy,462,0.000000,17
GeneticAlgorithm,462,0.118000,17
BruteForce,631,0.018000,18
DecreaseAndConquer,631,0.001000,18
DivideAndConquer,631,0.002000,18
TransformAndConquer,631,0.000000,18
SpaceAndTimeTradeOffs,631,0.000000,18
DynamicProgramming,631,0.000000,18
IterativeImprovement,631,0.000000,18
Greedy,631,0.000000,18
GeneticAlgorithm,631,0.120000,18
BruteForce,711,0.040000,19
DecreaseAndConquer,711,0.002000,19
DivideAndConquer,711,0.003000,19
TransformAndConquer,711,0.000000,19
SpaceAndTimeTradeOffs,711,0.000000,19
DynamicProgramming,711,0.000000,19
IterativeImprovement,711,0.000000,19
Greedy,711,0.000000,19
GeneticAlgorithm,711,0.122000,19
BruteForce,732,0.081000,20
DecreaseAndConquer,732,0.005000,20
DivideAndConquer,732,0.006000,20
TransformAndConquer,732,0.000000,20
SpaceAndTimeTradeOffs,732,0.000000,20
DynamicProgramming,732,0.000000,20
IterativeImprovement,732,0.000000,20
Greedy,732,0.000000,20
GeneticAlgorithm,732,0.137000,20
BruteForce,762,0.171000,21
DecreaseAndConquer,762,0.011000,21
DivideAndConquer,762,0.011000,21
TransformAndConquer,762,0.000000,21
SpaceAndTimeTradeOffs,762,0.000000,21
DynamicProgramming,762,0.000000,21
IterativeImprovement,762,0.000000,21
Greedy,762,0.000000,21
GeneticAlgorithm,762,0.134000,21
BruteForce,959,0.344000,22
DecreaseAndConquer,959,0.022000,22
DivideAndConquer,959,0.023000,22
TransformAndConquer,959,0.000000,22
SpaceAndTimeTradeOffs,959,0.000000,22
DynamicProgramming,959,0.000000,22
IterativeImprovement,959,0.000000,22
Greedy,959,0.000000,22
GeneticAlgorithm,959,0.133000,22
BruteForce,682,0.667000,23
DecreaseAndConquer,682,0.041000,23
DivideAndConquer,682,0.044000,23
TransformAndConquer,682,0.000000,23
SpaceAndTimeTradeOffs,682,0.000000,23
DynamicProgramming,682,0.000000,23
IterativeImprovement,682,0.000000,23
Greedy,682,0.000000,23
GeneticAlgorithm,682,0.131000,23
BruteForce,1049,1.392000,24
DecreaseAndConquer,1049,0.082000,24
DivideAndConquer,1049,0.086000,24
TransformAndConquer,1049,0.000000,24
SpaceAndTimeTradeOffs,1049,0.000000,24
DynamicProgramming,1049,0.000000,24
IterativeImprovement,1049,0.000000,24
Greedy,1049,0.000000,24
GeneticAlgorithm,1049,0.132000,24
BruteForce,1575,2.889000,25
DecreaseAndConquer,1575,0.169000,25
DivideAndConquer,1575,0.192000,25
TransformAndConquer,1575,0.000000,25
SpaceAndTimeTradeOffs,1575,0.000000,25
DynamicProgramming,1575,0.000000,25
IterativeImprovement,1575,0.000000,25
Greedy,1575,0.000000,25
GeneticAlgorithm,1575,0.142000,25
BruteForce,909,6.162000,26
DecreaseAndConquer,909,0.347000,26
DivideAndConquer,909,0.377000,26
TransformAndConquer,909,0.000000,26
SpaceAndTimeTradeOffs,909,0.000000,26
DynamicProgramming,909,0.001000,26
IterativeImprovement,909,0.000000,26
Greedy,909,0.000000,26
GeneticAlgorithm,909,0.160000,26
BruteForce,898,13.560000,27
DecreaseAndConquer,898,0.730000,27
DivideAndConquer,898,0.766000,27
TransformAndConquer,898,0.000000,27
SpaceAndTimeTradeOffs,898,0.000000,27
DynamicProgramming,898,0.001000,27
IterativeImprovement,898,0.000000,27
