Algorithms,MaxCost,TimeTaken,Parameters
TransformAndConquer,151,0.000005,5
SpaceAndTimeTradeOffs,151,0.000017,5
DynamicProgramming,151,0.000039,5
IterativeImprovement,151,0.000002,5
Greedy,151,0.000003,5
GeneticAlgorithm,151,0.067517,5
TransformAndConquer,57,0.000002,6
SpaceAndTimeTradeOffs,57,0.000021,6
DynamicProgramming,57,0.000021,6
IterativeImprovement,57,0.000001,6
Greedy,57,0.000002,6
GeneticAlgorithm,57,0.043004,6
TransformAndConquer,172,0.000001,7
SpaceAndTimeTradeOffs,172,0.000011,7
DynamicProgramming,172,0.000032,7
IterativeImprovement,172,0.000002,7
Greedy,172,0.000001,7
GeneticAlgorithm,172,0.038789,7
TransformAndConquer,227,0.000001,8
SpaceAndTimeTradeOffs,227,0.000023,8
DynamicProgramming,227,0.000039,8
IterativeImprovement,227,0.000002,8
Greedy,227,0.000001,8
GeneticAlgorithm,227,0.038807,8
TransformAndConquer,262,0.000002,9
SpaceAndTimeTradeOffs,262,0.000020,9
DynamicProgramming,262,0.000034,9
IterativeImprovement,262,0.000002,9
Greedy,262,0.000001,9
GeneticAlgorithm,262,0.053570,9
TransformAndConquer,332,0.000001,10
SpaceAndTimeTradeOffs,332,0.000028,10
DynamicProgramming,332,0.000045,10
IterativeImprovement,332,0.000001,10
Greedy,332,0.000001,10
GeneticAlgorithm,332,0.051217,10
TransformAndConquer,373,0.000001,11
SpaceAndTimeTradeOffs,373,0.000033,11
DynamicProgramming,373,0.000050,11
IterativeImprovement,373,0.000002,11
Greedy,373,0.000001,11
GeneticAlgorithm,373,0.047688,11
TransformAndConquer,352,0.000001,12
SpaceAndTimeTradeOffs,352,0.000042,12
DynamicProgramming,352,0.000070,12
IterativeImprovement,352,0.000001,12
Greedy,352,0.000002,12
GeneticAlgorithm,352,0.049828,12
TransformAndConquer,346,0.000002,13
SpaceAndTimeTradeOffs,346,0.000041,13
DynamicProgramming,346,0.000069,13
IterativeImprovement,346,0.000002,13
Greedy,346,0.000002,13
GeneticAlgorithm,346,0.047436,13
TransformAndConquer,414,0.000002,14
SpaceAndTimeTradeOffs,414,0.000050,14
DynamicProgramming,414,0.000085,14
IterativeImprovement,414,0.000002,14
Greedy,414,0.000001,14
GeneticAlgorithm,414,0.046883,14
TransformAndConquer,523,0.000001,15
SpaceAndTimeTradeOffs,523,0.000051,15
DynamicProgramming,523,0.000086,15
IterativeImprovement,523,0.000002,15
Greedy,523,0.000001,15
GeneticAlgorithm,523,0.047523,15
TransformAndConquer,490,0.000002,16
SpaceAndTimeTradeOffs,490,0.000071,16
DynamicProgramming,490,0.000100,16
IterativeImprovement,490,0.000004,16
Greedy,490,0.000001,16
GeneticAlgorithm,490,0.066917,16
TransformAndConquer,622,0.000003,17
SpaceAndTimeTradeOffs,622,0.000054,17
DynamicProgramming,622,0.000093,17
IterativeImprovement,622,0.000003,17
Greedy,622,0.000003,17
GeneticAlgorithm,622,0.066928,17
TransformAndConquer,634,0.000002,18
SpaceAndTimeTradeOffs,634,0.000068,18
DynamicProgramming,634,0.000108,18
IterativeImprovement,634,0.000002,18
Greedy,634,0.000002,18
GeneticAlgorithm,634,0.068382,18
TransformAndConquer,535,0.000001,19
SpaceAndTimeTradeOffs,535,0.000077,19
DynamicProgramming,535,0.000129,19
IterativeImprovement,535,0.000004,19
Greedy,535,0.000003,19
GeneticAlgorithm,535,0.069139,19
TransformAndConquer,789,0.000002,20
SpaceAndTimeTradeOffs,789,0.000092,20
DynamicProgramming,789,0.000138,20
IterativeImprovement,789,0.000004,20
Greedy,789,0.000002,20
GeneticAlgorithm,789,0.069985,20
TransformAndConquer,795,0.000003,21
SpaceAndTimeTradeOffs,795,0.000102,21
DynamicProgramming,795,0.000170,21
IterativeImprovement,795,0.000003,21
Greedy,795,0.000011,21
GeneticAlgorithm,795,0.072501,21
TransformAndConquer,903,0.000003,22
SpaceAndTimeTradeOffs,903,0.000096,22
DynamicProgramming,903,0.000150,22
IterativeImprovement,903,0.000004,22
Greedy,903,0.000001,22
GeneticAlgorithm,903,0.072818,22
TransformAndConquer,933,0.000002,23
SpaceAndTimeTradeOffs,933,0.000103,23
DynamicProgramming,933,0.000179,23
IterativeImprovement,933,0.000004,23
Greedy,933,0.000003,23
GeneticAlgorithm,933,0.074494,23
TransformAndConquer,930,0.000002,24
SpaceAndTimeTradeOffs,930,0.000103,24
DynamicProgramming,930,0.000171,24
IterativeImprovement,930,0.000018,24
Greedy,930,0.000001,24
GeneticAlgorithm,930,0.076369,24
TransformAndConquer,1575,0.000002,25
SpaceAndTimeTradeOffs,1575,0.000100,25
DynamicProgramming,1575,0.000162,25
IterativeImprovement,1575,0.000012,25
Greedy,1575,0.000015,25
GeneticAlgorithm,1575,0.097164,25
TransformAndConquer,929,0.000003,26
SpaceAndTimeTradeOffs,929,0.000123,26
DynamicProgramming,929,0.000211,26
IterativeImprovement,929,0.000017,26
Greedy,929,0.000001,26
GeneticAlgorithm,929,0.099918,26
TransformAndConquer,1289,0.000003,27
SpaceAndTimeTradeOffs,1289,0.000147,27
DynamicProgramming,1289,0.000214,27
IterativeImprovement,1289,0.000007,27
Greedy,1289,0.000002,27
GeneticAlgorithm,1289,0.103065,27
TransformAndConquer,1284,0.000002,28
SpaceAndTimeTradeOffs,1284,0.000144,28
DynamicProgramming,1284,0.000230,28
IterativeImprovement,1284,0.000016,28
Greedy,1284,0.000002,28
GeneticAlgorithm,1284,0.102874,28
TransformAndConquer,1241,0.000002,29
SpaceAndTimeTradeOffs,1241,0.000160,29
DynamicProgramming,1241,0.000244,29
IterativeImprovement,1241,0.000007,29
Greedy,1241,0.000002,29
GeneticAlgorithm,1241,0.104945,29
TransformAndConquer,1265,0.000003,30
SpaceAndTimeTradeOffs,1265,0.000158,30
DynamicProgramming,1265,0.000262,30
IterativeImprovement,1265,0.000007,30
Greedy,1265,0.000002,30
GeneticAlgorithm,1265,0.107188,30
TransformAndConquer,1252,0.000003,31
SpaceAndTimeTradeOffs,1252,0.000176,31
DynamicProgramming,1252,0.000297,31
IterativeImprovement,1252,0.000018,31
Greedy,1252,0.000016,31
GeneticAlgorithm,1252,0.108482,31
TransformAndConquer,1247,0.000002,32
SpaceAndTimeTradeOffs,1247,0.000167,32
DynamicProgramming,1247,0.000293,32
IterativeImprovement,1247,0.000015,32
Greedy,1247,0.000004,32
GeneticAlgorithm,1247,0.110669,32
TransformAndConquer,1319,0.000003,33
SpaceAndTimeTradeOffs,1319,0.000189,33
DynamicProgramming,1319,0.000310,33
IterativeImprovement,1319,0.000019,33
Greedy,1319,0.000014,33
GeneticAlgorithm,1319,0.113615,33
TransformAndConquer,1370,0.000003,34
SpaceAndTimeTradeOffs,1370,0.000199,34
DynamicProgramming,1370,0.000324,34
IterativeImprovement,1370,0.000021,34
Greedy,1370,0.000003,34
GeneticAlgorithm,1370,0.116048,34
TransformAndConquer,1434,0.000002,35
SpaceAndTimeTradeOffs,1434,0.000203,35
DynamicProgramming,1434,0.000338,35
IterativeImprovement,1434,0.000010,35
Greedy,1434,0.000003,35
GeneticAlgorithm,1434,0.117979,35
TransformAndConquer,1917,0.000004,36
SpaceAndTimeTradeOffs,1917,0.000216,36
DynamicProgramming,1917,0.000359,36
IterativeImprovement,1917,0.000010,36
Greedy,1917,0.000004,36
GeneticAlgorithm,1917,0.147688,36
TransformAndConquer,1762,0.000004,37
SpaceAndTimeTradeOffs,1762,0.000223,37
DynamicProgramming,1762,0.000403,37
IterativeImprovement,1762,0.000020,37
Greedy,1762,0.000003,37
GeneticAlgorithm,1762,0.150944,37
TransformAndConquer,1432,0.000005,38
SpaceAndTimeTradeOffs,1432,0.000236,38
DynamicProgramming,1432,0.000394,38
IterativeImprovement,1432,0.000011,38
Greedy,1432,0.000010,38
GeneticAlgorithm,1432,0.156012,38
TransformAndConquer,1672,0.000003,39
SpaceAndTimeTradeOffs,1672,0.000263,39
DynamicProgramming,1672,0.000415,39
IterativeImprovement,1672,0.000011,39
Greedy,1672,0.000003,39
GeneticAlgorithm,1672,0.157151,39
TransformAndConquer,1880,0.000004,40
SpaceAndTimeTradeOffs,1880,0.000257,40
DynamicProgramming,1880,0.000442,40
IterativeImprovement,1880,0.000020,40
Greedy,1880,0.000012,40
GeneticAlgorithm,1880,0.158781,40
TransformAndConquer,1848,0.000004,41
SpaceAndTimeTradeOffs,1848,0.000295,41
DynamicProgramming,1848,0.000456,41
IterativeImprovement,1848,0.000020,41
Greedy,1848,0.000010,41
GeneticAlgorithm,1848,0.164218,41
TransformAndConquer,2138,0.000005,42
SpaceAndTimeTradeOffs,2138,0.000281,42
DynamicProgramming,2138,0.000477,42
IterativeImprovement,2138,0.000021,42
Greedy,2138,0.000014,42
GeneticAlgorithm,2138,0.172118,42
TransformAndConquer,1873,0.000004,43
SpaceAndTimeTradeOffs,1873,0.000305,43
DynamicProgramming,1873,0.000520,43
IterativeImprovement,1873,0.000021,43
Greedy,1873,0.000010,43
GeneticAlgorithm,1873,0.165410,43
TransformAndConquer,2139,0.000003,44
SpaceAndTimeTradeOffs,2139,0.000303,44
DynamicProgramming,2139,0.000563,44
IterativeImprovement,2139,0.000014,44
Greedy,2139,0.000010,44
GeneticAlgorithm,2139,0.167682,44
TransformAndConquer,2206,0.000005,45
SpaceAndTimeTradeOffs,2206,0.000325,45
DynamicProgramming,2206,0.000550,45
IterativeImprovement,2206,0.000015,45
Greedy,2206,0.000004,45
GeneticAlgorithm,2206,0.170952,45
TransformAndConquer,2249,0.000004,46
SpaceAndTimeTradeOffs,2249,0.000397,46
DynamicProgramming,2249,0.000969,46
IterativeImprovement,2249,0.000014,46
Greedy,2249,0.000004,46
GeneticAlgorithm,2249,0.173405,46
TransformAndConquer,2214,0.000005,47
SpaceAndTimeTradeOffs,2214,0.000343,47
DynamicProgramming,2214,0.000592,47
IterativeImprovement,2214,0.000017,47
Greedy,2214,0.000004,47
GeneticAlgorithm,2214,0.173228,47
TransformAndConquer,2602,0.000004,48
SpaceAndTimeTradeOffs,2602,0.000354,48
DynamicProgramming,2602,0.000651,48
IterativeImprovement,2602,0.000016,48
Greedy,2602,0.000003,48
GeneticAlgorithm,2602,0.175790,48
TransformAndConquer,2322,0.000004,49
SpaceAndTimeTradeOffs,2322,0.000375,49
DynamicProgramming,2322,0.000691,49
IterativeImprovement,2322,0.000018,49
Greedy,2322,0.000004,49
GeneticAlgorithm,2322,0.213299,49
TransformAndConquer,5825,0.000005,50
SpaceAndTimeTradeOffs,5825,0.000316,50
DynamicProgramming,5825,0.000539,50
IterativeImprovement,5825,0.000018,50
Greedy,5825,0.000005,50
GeneticAlgorithm,5825,0.213616,50
TransformAndConquer,2656,0.000004,51
SpaceAndTimeTradeOffs,2656,0.000393,51
DynamicProgramming,2656,0.000681,51
IterativeImprovement,2656,0.000018,51
Greedy,2656,0.000003,51
GeneticAlgorithm,2656,0.217282,51
TransformAndConquer,3058,0.000005,52
SpaceAndTimeTradeOffs,3058,0.000417,52
DynamicProgramming,3058,0.000721,52
IterativeImprovement,3058,0.000018,52
Greedy,3058,0.000005,52
GeneticAlgorithm,3058,0.219019,52
TransformAndConquer,2378,0.000004,53
SpaceAndTimeTradeOffs,2378,0.000430,53
DynamicProgramming,2378,0.000734,53
IterativeImprovement,2378,0.000019,53
Greedy,2378,0.000003,53
GeneticAlgorithm,2378,0.221957,53
TransformAndConquer,3111,0.000006,54
SpaceAndTimeTradeOffs,3111,0.000433,54
